Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00001B,Bengaluru,Los Angeles,Sea,Textiles,6940.0,1.0,3137.0,LCL,102.31,Off_Peak,Carrier_C,5.0,53590.0
SHP00002B,Bengaluru,Dubai,Road,Furniture,6730.0,2.0,929.0,40FT_HC,99.11,Normal,Carrier_E,15.0,94499.0
SHP00003M,Mumbai,Hamburg,Air,Pharmaceuticals,2170.0,3.0,8699.0,AIR_CARGO,83.66,Normal,Carrier_B,17.0,209743.0
SHP00004K,Kolkata,London,Sea,Furniture,8016.0,4.0,1444.0,40FT,110.36,Peak,Carrier_D,16.0,106793.0
SHP00005C,Chennai,Singapore,Sea,Furniture,8398.0,5.0,3295.0,LCL,93.43,Normal,Carrier_C,12.0,52618.0
SHP00006C,Chennai,Colombo,Sea,Textiles,3440.0,6.0,972.0,AIR_CARGO,80.08,Normal,Carrier_A,4.0,26526.0
SHP00007K,Kolkata,New York,Sea,Chemicals,4462.0,7.0,3404.0,20FT,83.52,Normal,Carrier_D,10.0,45089.0
SHP00008H,Hyderabad,Rotterdam,Sea,Machinery,3407.0,8.0,11816.0,40FT_HC,96.59,Normal,Carrier_B,22.0,148842.0
SHP00009M,Mumbai,Singapore,Sea,Textiles,3191.0,9.0,2621.0,LCL,88.54,Peak,Carrier_A,4.0,43499.0
SHP00010M,Mumbai,Dubai,Air,General Merchandise,5840.0,10.0,1426.0,40FT,109.05,Peak,Carrier_B,12.0,263674.0
SHP00011M,Mumbai,Colombo,Sea,Textiles,1870.0,11.0,7841.0,20FT,94.79,Normal,Carrier_C,13.0,69156.0
SHP00012C,Chennai,New York,Road,General Merchandise,2619.0,0.5,10614.0,40FT_HC,111.61,Peak,Carrier_D,20.0,194421.0
SHP00013B,Bengaluru,Dubai,Air,Furniture,1640.0,13.0,9243.0,LCL,79.07,Normal,Carrier_E,19.0,190168.0
SHP00014A,Mumbai,Rotterdam,Sea,Pharmaceuticals,10953.0,14.0,1455.0,AIR_CARGO,101.74,Normal,Carrier_C,22.0,97429.0
SHP00015H,Hyderabad,Jebel Ali,Sea,Textiles,2187.0,15.0,7450.0,40FT_HC,110.43,Normal,Carrier_C,16.0,89983.0
SHP00016P,Pune,Hamburg,Sea,General Merchandise,1687.0,16.0,10451.0,LCL,86.72,Normal,Carrier_E,22.0,71311.0
SHP00017M,Mumbai,Jebel Ali,Sea,Textiles,2582.0,17.0,3534.0,40FT_HC,80.43,Off_Peak,Carrier_E,6.0,40924.0
SHP00018C,Chennai,New York,Sea,Pharmaceuticals,1875.0,18.0,5451.0,LCL,93.27,Normal,Carrier_A,10.0,55572.0
SHP00019C,Chennai,Jebel Ali,Sea,Furniture,1602.0,19.0,10203.0,AIR_CARGO,113.45,Off_Peak,Carrier_B,16.0,101043.0
SHP00020P,Pune,New York,Sea,Textiles,4244.0,20.0,1368.0,40FT_HC,100.34,Normal,Carrier_C,9.0,63347.0
SHP00021B,Bengaluru,London,Sea,Automotive Parts,2510.0,21.0,10519.0,LCL,100.76,Normal,Carrier_A,23.0,94027.0
SHP00022P,Pune,London,Sea,General Merchandise,4453.0,22.0,4676.0,20FT,101.86,Normal,Carrier_A,13.0,70988.0
SHP00023K,Kolkata,Shanghai,Sea,Pharmaceuticals,3817.0,23.0,4679.0,40FT,76.59,Normal,Carrier_C,11.0,41699.0
